Date,Symbol,Company,Sector,Industry,Last Index Change
2021-01-04,BEI.UN,Boardwalk Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,BLX,Boralex Inc.,Utilities,Independent Power Producers,2020-06-22
2021-01-04,BYD,Boyd Group Services Inc.,Consumer Cyclical,Personal Services,2020-06-22
2021-01-04,BAM.A,Brookfield Asset Management Inc.,Financial Services,Asset Management,2020-06-22
2021-01-04,BBU.UN,Brookfield Business Partners L.P.,Industrials,Conglomerates,2020-06-22
2021-01-04,BIP.UN,Brookfield Infrastructure Partners L.P.,Utilities,Regulated Utilities,2020-06-22
2021-01-04,BPY.UN,Brookfield Property Partners L.P.,Real Estate,Real Estate,2020-06-22
2021-01-04,BEP.UN,Brookfield Renewable Partners L.P.,Utilities,Independent Power Producers,2020-06-22
2021-01-04,DOO,BRP Inc.,Consumer Cyclical,Vehicles & Parts,2020-06-22
2021-01-04,CAE,CAE Inc.,Industrials,Aerospace & Defense,2020-06-22
2021-01-04,CCO,Cameco Corporation,Energy,Other Energy Sources,2020-06-22
2021-01-04,GOOS,Canada Goose Holdings Inc.,Consumer Cyclical,Apparel & Accessories,2020-06-22
2021-01-04,CAR.UN,Canadian Apartment Properties Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,CM,Canadian Imperial Bank of Commerce,Financial Services,Banks,2020-06-22
2021-01-04,CNR,Canadian National Railway Company,Industrials,Transportation,2020-06-22
2021-01-04,CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas,2020-06-22
2021-01-04,CP,Canadian Pacific Railway Limited,Industrials,Transportation,2020-06-22
2021-01-04,CTC.A,Canadian Tire Corporation Limited,Consumer Cyclical,Retail Cyclical,2020-06-22
2021-01-04,CU,Canadian Utilities Limited,Utilities,Regulated Utilities,2020-06-22
2021-01-04,CWB,Canadian Western Bank,Financial Services,Banks,2020-06-22
2021-01-04,CFP,Canfor Corporation,Basic Materials,Forest Products,2020-06-22
2021-01-04,WEED,Canopy Growth Corporation,Healthcare,Drug Manufacturers,2020-06-22
2021-01-04,CPX,Capital Power Corporation,Utilities,Independent Power Producers,2020-06-22
2021-01-04,CJT,Cargojet Inc.,Industrials,Transportation,2020-06-22
2021-01-04,CAS,Cascades Inc.,Basic Materials,Forest Products,2020-06-22
2021-01-04,CCL.B,CCL Industries Inc.,Consumer Cyclical,Packaging & Containers,2020-06-22
2021-01-04,CLS,Celestica Inc.,Technology,Hardware,2020-06-22
2021-01-04,CVE,Cenovus Energy Inc.,Energy,Oil & Gas,2020-06-22
2021-01-04,CG,Centerra Gold Inc.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,GIB.A,CGI Inc.,Technology,Software,2020-06-22
2021-01-04,CSH.UN,Chartwell Retirement Residences,Real Estate,Real Estate,2020-06-22
2021-01-04,CHP.UN,Choice Properties Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,CIX,CI Financial Corp.,Financial Services,Asset Management,2020-06-22
2021-01-04,CCA,Cogeco Communications Inc.,Communication Services,Telecommunication Services,2020-06-22
2021-01-04,CIGI,Colliers International Group Inc.,Real Estate,Real Estate,2020-06-22
2021-01-04,CUF.UN,Cominar Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,CSU,Constellation Software Inc.,Technology,Software,2020-06-22
2021-01-04,CJR.B,Corus Entertainment Inc.,Communication Services,Diversified Media,2020-06-22
2021-01-04,CPG,Crescent Point Energy Corp.,Energy,Oil & Gas,2020-06-22
2021-01-04,CRR.UN,Crombie Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,CRON,Cronos Group Inc.,Healthcare,Drug Manufacturers,2020-06-22
2021-01-04,CRT.UN,CT Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,DSG,Descartes Systems Group Inc.,Technology,Software,2020-06-22
2021-01-04,DOL,Dollarama Inc.,Consumer Defensive,Retail Defensive,2020-06-22
2021-01-04,DIR.UN,Dream Industrial Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,D.UN,Dream Office Real Estate Investment Trust,Real Estate,REITs,2020-06-22
2021-01-04,DPM,Dundee Precious Metals Inc.,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,ECN,ECN Capital Corp.,Financial Services,Credit Services,2020-06-22
2021-01-04,ELD,Eldorado Gold Corporation,Basic Materials,Metals & Mining,2020-06-22
2021-01-04,EFN,Element Fleet Management Corp.,Industrials,Business Services,2020-06-22
2021-01-04,EMA,Emera Incorporated,Utilities,Regulated Utilities,2020-06-22
2021-01-04,EMP.A,Empire Company,Consumer Defensive,Retail Defensive,2020-06-22
2021-01-04,ENB,Enbridge Inc.,Energy,Oil & Gas,2020-06-22
