Last Index Change,Symbol,Company,Sector,Industry
2020-06-22,NG,NovaGold Resources Inc.,Basic Materials,Metals & Mining
2020-06-22,NTR,Nutrien Ltd.,Basic Materials,Agriculture
2020-06-22,OGC,OceanaGold Corporation,Basic Materials,Metals & Mining
2020-06-22,ONEX,Onex Corporation,Financial Services,Asset Management
2020-06-22,OTEX,Open Text Corporation,Technology,Software
2020-06-22,OR,Osisko Gold Royalties Ltd.,Basic Materials,Metals & Mining
2020-06-22,OSK,Osisko Mining Inc.,Basic Materials,Metals & Mining
2020-06-22,PAAS,Pan American Silver Corp.,Basic Materials,Metals & Mining
2020-06-22,PXT,Parex Resources Inc.,Energy,Oil & Gas
2020-06-22,PKI,Parkland Corporation,Energy,Oil & Gas
2020-06-22,PPL,Pembina Pipeline Corporation,Energy,Oil & Gas
2020-06-22,POW,Power Corporation of Canada,Financial Services,Insurance
2020-06-22,PSK,PrairieSky Royalty Ltd.,Energy,Oil & Gas
2020-06-22,PBH,Premium Brands Holdings Corporation,Consumer Defensive,Consumer Packaged Goods
2020-06-22,PVG,Pretium Resources Inc.,Basic Materials,Metals & Mining
2020-06-22,PRMW,Primo Water Corporation,Consumer Defensive,Non-Alcoholic Beverages
2020-06-22,QBR.B,Quebecor Inc.,Communication Services,Telecommunication Services
2020-06-22,REAL,Real Matters Inc.,Technology,Software
2020-06-22,RECP,Recipe Unlimited,Consumer Cyclical,Restaurants
2020-06-22,QSR,Restaurant Brands International Inc.,Consumer Cyclical,Restaurants
2020-06-22,RCH,Richelieu Hardware Ltd.,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
2020-06-22,REI.UN,RioCan Real Estate Investment Trust,Real Estate,REITs
2020-06-22,RBA,Ritchie Bros. Auctioneers Incorporated,Industrials,Business Services
2020-06-22,RCI.B,Rogers Communications Inc.,Communication Services,Telecommunication Services
2020-06-22,RY,Royal Bank of Canada,Financial Services,Banks
2020-06-22,RUS,Russel Metals Inc.,Industrials,Industrial Distribution
2020-06-22,SSL,Sandstorm Gold Ltd.,Basic Materials,Metals & Mining
2020-06-22,SAP,Saputo Inc.,Consumer Defensive,Consumer Packaged Goods
2020-06-22,SEA,Seabridge Gold Inc.,Basic Materials,Metals & Mining
2020-06-22,SMF,Semafo Inc.,Basic Materials,Metals & Mining
2020-06-22,VII,Seven Generations Energy Ltd.,Energy,Oil & Gas
2020-06-22,SJR.B,Shaw Communications Inc.,Communication Services,Telecommunication Services
2020-06-22,SHOP,Shopify Inc.,Technology,Software
2020-06-22,SIA,Sienna Senior Living Inc.,Healthcare,Healthcare Providers & Services
2020-06-22,SVM,Silvercorp Metals Inc.,Basic Materials,Metals & Mining
2020-06-22,SIL,SilverCrest Metals Inc.,Basic Materials,Metals & Mining
2020-06-22,ZZZ,Sleep Country Canada Holdings Inc.,Consumer Cyclical,Retail Cyclical
2020-06-22,SRU.UN,SmartCentres Real Estate Investment Trust,Real Estate,REITs
